step,train_loss,test_loss,train_acc,test_acc,weight_norm,emb_top_frac,restricted_loss,excluded_loss
0,4.59588623046875,4.598238945007324,0.010272759012877941,0.00971758272498846,21.745498772429315,0.11862170696258545,4.5933308601379395,4.5975799560546875
100,0.1307927966117859,5.029946327209473,1.0,0.16292135417461395,24.066430049510494,0.13638554513454437,4.0976715087890625,3.9175875186920166
200,0.020283721387386322,4.940409183502197,1.0,0.21044640243053436,23.43973473501831,0.136209636926651,3.9497809410095215,3.8907766342163086
300,0.014009715989232063,4.986802101135254,1.0,0.22395990788936615,23.469012382787817,0.1406722366809845,3.8473756313323975,3.983224630355835
400,0.00913200993090868,4.8805341720581055,1.0,0.2307925969362259,22.686375777454902,0.1392734795808792,3.828723669052124,3.9124131202697754
500,0.004370769951492548,4.93430233001709,1.0,0.2354995459318161,22.840105268453144,0.13959011435508728,3.76470947265625,3.984049081802368
600,0.7464880347251892,6.156661510467529,0.854764461517334,0.08609171211719513,23.892884191821043,0.15654201805591583,4.1788411140441895,4.943706035614014
700,0.01227994728833437,4.526355743408203,1.0,0.25280898809432983,23.30372794830922,0.1548689901828766,3.6341464519500732,3.7907302379608154
800,0.010868280194699764,4.326453685760498,1.0,0.2587306499481201,22.939350132281657,0.15037541091442108,3.655902624130249,3.6298835277557373
900,0.026429416611790657,3.848039388656616,1.0,0.27300333976745605,24.48101154913039,0.18084202706813812,3.416606903076172,3.4744579792022705
1000,0.018221335485577583,3.536940813064575,1.0,0.29289400577545166,23.586326903090633,0.168153777718544,3.438373327255249,3.2126121520996094
1100,0.00985153578221798,3.2930145263671875,1.0,0.3121773600578308,24.202944298046972,0.16723421216011047,3.314131736755371,3.0995655059814453
1200,0.004089013673365116,2.9699103832244873,1.0,0.3460370600223541,25.289857176991568,0.16912610828876495,3.1005654335021973,2.9802780151367188
1300,0.0016954470193013549,2.5956742763519287,1.0,0.39720618724823,26.44160541231477,0.17071844637393951,2.872159957885742,2.829291582107544
1400,0.000708471518009901,2.1916420459747314,1.0,0.45171576738357544,27.612208548929935,0.17137742042541504,2.6366522312164307,2.65144419670105
1500,0.00029836513567715883,1.7939064502716064,1.0,0.52657151222229,28.786655472673516,0.1711140125989914,2.3989949226379395,2.463691473007202
1600,0.008098194375634193,0.5466392636299133,1.0,0.8587913513183594,29.543523799283943,0.2856064438819885,2.049938201904297,1.6263409852981567
1700,0.007651543710380793,0.35794156789779663,1.0,0.9489827156066895,27.538112466908185,0.26533642411231995,2.065213918685913,1.329298496246338
1800,0.005414347164332867,0.21493080258369446,1.0,0.9857273101806641,27.08492972892198,0.24998508393764496,1.9174025058746338,1.12102472782135
1900,0.0024063442833721638,0.06592502444982529,1.0,0.9980261325836182,27.66492425977777,0.25473806262016296,1.561740756034851,0.7933706641197205
2000,0.000987698440439999,0.01513591781258583,1.0,0.9995445013046265,28.324030036356575,0.2652811110019684,1.1626695394515991,0.5041499733924866
2100,0.0004127624852117151,0.003750935196876526,1.0,1.0,28.99054762511942,0.2774628698825836,0.8177671432495117,0.3242674767971039
2200,0.0001772561954567209,0.0010377297876402736,1.0,1.0,29.7397484523177,0.288865864276886,0.5603396892547607,0.22407054901123047
2300,7.768242357997224e-05,0.0003184849047102034,1.0,1.0,30.59099550336097,0.299294650554657,0.383287250995636,0.16324636340141296
2400,0.016345079988241196,0.04596911370754242,1.0,0.9971150755882263,31.887369360133448,0.41284093260765076,0.4796279966831207,2.170832395553589
2500,0.002863394096493721,0.006212332751601934,1.0,1.0,29.42640525105637,0.40417617559432983,0.44411101937294006,1.1153967380523682
2600,0.0040891170501708984,0.00809415616095066,1.0,1.0,27.84148716539605,0.39158424735069275,0.5817176699638367,0.9715125560760498
2700,0.002263316884636879,0.004713474772870541,1.0,1.0,28.118469477765405,0.387738972902298,0.5044641494750977,0.7882971167564392
2800,0.0009816652163863182,0.0021140682511031628,1.0,1.0,29.01407971265424,0.38861358165740967,0.3993980884552002,0.5889156460762024
2900,0.0004142648249398917,0.0008560859132558107,1.0,1.0,29.976044929432096,0.403986394405365,0.3430441617965698,0.36825254559516907
3000,0.00018313022155780345,0.0003394831146579236,1.0,1.0,30.97616402197258,0.40638214349746704,0.27798643708229065,0.2578437328338623
3100,0.0029859542846679688,0.006320715881884098,1.0,1.0,30.916937826888432,0.44105926156044006,0.32847335934638977,1.3142709732055664
3200,0.004763044882565737,0.008321540430188179,1.0,1.0,28.84623598409726,0.4280661940574646,0.48662662506103516,1.135789155960083
3300,0.0029486522544175386,0.005125304218381643,1.0,1.0,28.627989644240422,0.4111284017562866,0.4809027910232544,0.8885015845298767
3400,0.0012449607020244002,0.0021615184377878904,1.0,1.0,29.285364146989437,0.40720972418785095,0.4061652421951294,0.6136630177497864
3500,0.004997634328901768,0.008871681056916714,1.0,1.0,30.035460297967226,0.476715624332428,0.33782052993774414,1.5686708688735962
3600,0.007467368617653847,0.011916140094399452,1.0,1.0,28.015089224624475,0.46912240982055664,0.5071473717689514,1.3421517610549927
3700,0.004592359531670809,0.007028826046735048,1.0,1.0,27.80819056979737,0.46118471026420593,0.45883506536483765,1.1575433015823364
3800,0.0019502880750223994,0.0028808473143726587,1.0,1.0,28.316118075767434,0.4421265423297882,0.3748796284198761,0.8799501657485962
3900,0.0008325836970470846,0.0011856758501380682,1.0,1.0,29.06695322619358,0.4425726532936096,0.32024946808815,0.6052823662757874
4000,0.004688328597694635,0.00812829565256834,1.0,1.0,30.248270212717884,0.45987290143966675,0.36623287200927734,1.4377650022506714
4100,0.004632983822375536,0.006350163836032152,1.0,1.0,28.08072775185253,0.4485592246055603,0.49085789918899536,1.0815180540084839
4200,0.010066746734082699,0.014503438025712967,1.0,1.0,28.190229174386314,0.4645923376083374,0.5168883204460144,1.5614746809005737
4300,0.01056659035384655,0.013678654097020626,1.0,1.0,26.789283487385223,0.4520169496536255,0.6237687468528748,1.3174716234207153
4400,0.005817711353302002,0.007204369176179171,1.0,1.0,27.064331017479596,0.4432957172393799,0.565412700176239,1.041348934173584
4500,0.0025480499025434256,0.003065986093133688,1.0,1.0,27.902705325091922,0.43870097398757935,0.44943591952323914,0.8162443041801453
4600,0.006026314105838537,0.008767632767558098,1.0,1.0,29.03751782683238,0.47425296902656555,0.5915808081626892,1.1019562482833862
4700,0.006930542178452015,0.00874365121126175,1.0,1.0,27.23872786762967,0.46798619627952576,0.6581925749778748,1.0054248571395874
4800,0.00449272571131587,0.0055197193287312984,1.0,1.0,27.25936846461426,0.4622148275375366,0.5964370369911194,0.8513465523719788
4900,0.016709638759493828,0.024639902636408806,1.0,1.0,28.767441039123696,0.4744282066822052,0.7215622663497925,1.5051263570785522
